cell_id,small_mul,large_mul,threshold,area,start_year,end_year,change_f1,fom,transition_accuracy,allocation_disagreement,tp,fp,fn,tn,n_valid
1,1.0,2.0,30000,baiyangdian_new_area_holdout,2020,2021,0.18045112781954886,0.09917355371900827,0.12857142857142856,0.19746376811594202,12,51,58,431,552
1,1.0,2.0,30000,banzhucun,2017,2020,0.3288978004617815,0.19681489292077228,0.2061354207116434,0.300108685807445,16239,33580,32690,138311,220820
1,1.0,2.0,30000,banzhucun,2020,2023,0.43381887270424313,0.2769915082895269,0.20888433912868362,0.2753011502581288,23290,24494,36298,136738,220820
1,1.0,2.0,30000,beibu_gulf_urban_holdout,2020,2021,0.24074074074074076,0.1368421052631579,0.18333333333333332,0.14855072463768115,13,35,47,457,552
1,1.0,2.0,30000,bishan,2017,2018,0.22138836772983117,0.12447257383966245,0.1158357771260997,0.17697228144989338,118,266,564,3742,4690
1,1.0,2.0,30000,bishan,2018,2019,0.2685990338164251,0.15513392857142858,0.1676829268292683,0.16140724946695095,139,240,517,3794,4690
1,1.0,2.0,30000,bishan,2019,2020,0.20765027322404372,0.11585365853658537,0.12059620596205962,0.18550106609808104,114,246,624,3706,4690
1,1.0,2.0,30000,bishan,2020,2021,0.22598870056497175,0.12738853503184713,0.11894273127753303,0.17526652452025587,120,261,561,3748,4690
1,1.0,2.0,30000,bishan,2021,2022,0.17407071622846781,0.09533267130089375,0.06162464985994398,0.19424307036247335,96,293,618,3683,4690
1,1.0,2.0,30000,bishan,2022,2023,0.3444354183590576,0.20804710500490678,0.16005873715124816,0.1720682302771855,212,338,469,3671,4690
1,1.0,2.0,30000,bishan,2023,2024,0.17061611374407581,0.09326424870466321,0.06382978723404255,0.1865671641791045,90,354,521,3725,4690
1,1.0,2.0,30000,changbai_margin_holdout,2020,2021,0.10526315789473684,0.05555555555555555,1.0,0.03213610586011342,1,17,0,511,529
1,1.0,2.0,30000,dabie_forest_edge_holdout,2020,2021,0.16326530612244897,0.08888888888888889,0.13043478260869565,0.07750472589792061,4,22,19,484,529
1,1.0,2.0,30000,dongting_lake_holdout,2020,2021,0.5045045045045045,0.3373493975903614,0.1527777777777778,0.10396975425330812,28,11,44,446,529
1,1.0,2.0,30000,erlong_lake_margin_holdout,2020,2021,0.0909090909090909,0.047619047619047616,0.05555555555555555,0.11342155009451796,3,27,33,466,529
1,1.0,2.0,30000,ezhou_lakeside_expansion_holdout,2020,2021,0.19444444444444445,0.1076923076923077,0.1590909090909091,0.10507246376811594,7,21,37,487,552
