cell_id,small_mul,large_mul,threshold,n,change_f1_mean,fom_mean,transition_accuracy_mean,allocation_disagreement_mean,change_f1_std,fom_std,transition_accuracy_std,allocation_disagreement_std
1,1.0,2.0,30000,55,0.22703507363931277,0.133625214901766,0.18053109820773947,0.12737206239861223,0.12277069267825488,0.08230606081546571,0.16911063519073233,0.07142522764358394
2,1.0,2.0,50000,55,0.22703507363931277,0.133625214901766,0.18053109820773947,0.12737206239861223,0.12277069267825488,0.08230606081546571,0.16911063519073233,0.07142522764358394
3,1.0,2.0,70000,55,0.22703507363931277,0.133625214901766,0.18053109820773947,0.12737206239861223,0.12277069267825488,0.08230606081546571,0.16911063519073233,0.07142522764358394
4,1.0,2.0,100000,55,0.22703507363931277,0.133625214901766,0.18053109820773947,0.12737206239861223,0.12277069267825488,0.08230606081546571,0.16911063519073233,0.07142522764358394
5,1.0,3.0,30000,55,0.2281527426261775,0.13447000293863953,0.1817578750441438,0.12842047264599857,0.12409860945637359,0.0833121999066358,0.16911152417622388,0.07321557197494497
6,1.0,3.0,50000,55,0.2281527426261775,0.13447000293863953,0.1817578750441438,0.12842047264599857,0.12409860945637359,0.0833121999066358,0.16911152417622388,0.07321557197494497
7,1.0,3.0,70000,55,0.2281527426261775,0.13447000293863953,0.1817578750441438,0.12842047264599857,0.12409860945637359,0.0833121999066358,0.16911152417622388,0.07321557197494497
8,1.0,3.0,100000,55,0.2281527426261775,0.13447000293863953,0.1817578750441438,0.12842047264599857,0.12409860945637359,0.0833121999066358,0.16911152417622388,0.07321557197494497
9,1.0,4.0,30000,55,0.22826903125625883,0.1345576639039055,0.1820456609503008,0.1288719101989517,0.12423495753964667,0.08341218195197746,0.16909987459132683,0.07396774810459382
10,1.0,4.0,50000,55,0.22826903125625883,0.1345576639039055,0.1820456609503008,0.1288719101989517,0.12423495753964667,0.08341218195197746,0.16909987459132683,0.07396774810459382
11,1.0,4.0,70000,55,0.22826903125625883,0.1345576639039055,0.1820456609503008,0.1288719101989517,0.12423495753964667,0.08341218195197746,0.16909987459132683,0.07396774810459382
12,1.0,4.0,100000,55,0.22826903125625883,0.1345576639039055,0.1820456609503008,0.1288719101989517,0.12423495753964667,0.08341218195197746,0.16909987459132683,0.07396774810459382
13,1.5,2.0,30000,55,0.2538240238343839,0.15335516930919116,0.21046782026877603,0.13735649214432955,0.14124649829901922,0.10167195460088499,0.16922133470934117,0.07480019397020675
14,1.5,2.0,50000,55,0.2538240238343839,0.15335516930919116,0.21046782026877603,0.13735649214432955,0.14124649829901922,0.10167195460088499,0.16922133470934117,0.07480019397020675
15,1.5,2.0,70000,55,0.2538240238343839,0.15335516930919116,0.21046782026877603,0.13735649214432955,0.14124649829901922,0.10167195460088499,0.16922133470934117,0.07480019397020675
16,1.5,2.0,100000,55,0.2538240238343839,0.15335516930919116,0.21046782026877603,0.13735649214432955,0.14124649829901922,0.10167195460088499,0.16922133470934117,0.07480019397020675
17,1.5,3.0,30000,55,0.25494169282124857,0.15419995734606468,0.21169459710518032,0.13840490239171588,0.1421879174889535,0.10232237673244454,0.16900103322397989,0.07637213236019515
18,1.5,3.0,50000,55,0.25494169282124857,0.15419995734606468,0.21169459710518032,0.13840490239171588,0.1421879174889535,0.10232237673244454,0.16900103322397989,0.07637213236019515
19,1.5,3.0,70000,55,0.25494169282124857,0.15419995734606468,0.21169459710518032,0.13840490239171588,0.1421879174889535,0.10232237673244454,0.16900103322397989,0.07637213236019515
20,1.5,3.0,100000,55,0.25494169282124857,0.15419995734606468,0.21169459710518032,0.13840490239171588,0.1421879174889535,0.10232237673244454,0.16900103322397989,0.07637213236019515
21,1.5,4.0,30000,55,0.25505798145132996,0.15428761831133064,0.21198238301133734,0.13885633994466895,0.14228463657555326,0.10238659616324869,0.1689374422303807,0.07703394543618379
22,1.5,4.0,50000,55,0.25505798145132996,0.15428761831133064,0.21198238301133734,0.13885633994466895,0.14228463657555326,0.10238659616324869,0.1689374422303807,0.07703394543618379
23,1.5,4.0,70000,55,0.25505798145132996,0.15428761831133064,0.21198238301133734,0.13885633994466895,0.14228463657555326,0.10238659616324869,0.1689374422303807,0.07703394543618379
